nnodes nedges type capacity P s t
200  19900  graph  1000 100 1 200 
nodename posx posy itemvalue itemweight
1 939 913 0 0
2 124 878 60 363
3 72 177 231 115
4 847 344 212 500
5 387 852 109 356
6 465 120 46 280
7 946 477 9 290
8 849 739 188 238
9 933 683 242 20
10 642 167 13 53
11 266 17 170 405
12 690 974 121 448
13 708 422 177 364
14 676 196 243 119
15 714 360 5 407
16 692 654 198 26
17 625 168 91 257
18 884 697 138 71
19 697 84 223 201
20 393 84 172 434
21 936 859 57 69
22 557 235 65 417
23 336 406 108 2
24 974 622 6 349
25 90 968 123 18
26 789 708 4 292
27 986 831 24 374
28 683 694 240 201
29 254 359 237 232
30 242 320 69 343
31 71 286 138 119
32 326 49 119 330
33 806 563 125 108
34 98 503 2 450
35 647 492 59 26
36 940 583 133 217
37 351 497 94 299
38 170 39 235 304
39 903 144 153 490
40 661 345 152 25
41 465 803 8 257
42 406 803 67 281
43 634 441 130 408
44 849 888 231 219
45 152 92 139 300
46 561 224 61 128
47 378 887 168 281
48 625 185 59 144
49 450 75 139 412
50 40 97 195 49
51 567 980 187 179
52 33 270 117 383
53 477 203 228 101
54 662 733 186 130
55 700 323 90 189
56 430 517 154 97
57 126 836 196 470
58 320 761 230 427
59 629 169 229 210
60 1 782 145 219
61 261 562 111 58
62 358 992 96 130
63 450 983 88 6
64 529 252 126 78
65 410 569 168 70
66 350 978 228 354
67 902 735 249 94
68 600 379 88 226
69 290 262 194 273
70 464 990 105 136
71 938 247 64 360
72 507 64 84 259
73 83 179 182 313
74 177 65 185 410
75 349 531 125 182
76 847 610 129 87
77 93 205 239 474
78 954 895 69 76
79 540 483 230 194
80 148 950 6 397
81 405 850 13 483
82 280 307 102 363
83 585 233 77 190
84 38 875 190 122
85 495 503 64 294
86 218 433 109 127
87 750 77 6 193
88 850 185 237 187
89 257 27 107 274
90 250 606 96 231
91 558 97 57 224
92 568 4 68 45
93 654 523 50 238
94 251 546 222 381
95 358 751 181 477
96 849 763 129 45
97 601 481 62 82
98 70 538 158 240
99 714 109 21 347
100 766 562 111 437
101 964 336 243 470
102 995 714 165 498
103 413 197 14 152
104 251 670 184 370
105 577 502 27 131
106 628 135 101 83
107 951 549 207 270
108 491 958 229 256
109 424 743 7 450
110 504 782 238 289
111 494 705 29 116
112 546 448 83 90
113 187 968 49 92
114 986 253 79 320
115 77 104 189 41
116 815 41 108 283
117 440 163 112 22
118 107 854 132 375
119 360 359 25 167
120 876 937 97 301
121 213 857 47 197
122 425 516 235 355
123 406 916 68 213
124 474 830 110 176
125 11 331 15 449
126 964 858 66 145
127 36 510 166 148
128 306 575 234 465
