nnodes nedges type capacity P s t
200  19900  graph  1000 100 1 200 
nodename posx posy itemvalue itemweight
1 517 245 0 0
2 696 495 347 189
3 237 867 382 201
4 643 260 445 183
5 753 712 240 138
6 450 284 216 322
7 673 894 1 194
8 702 64 499 79
9 83 955 351 368
10 273 885 222 8
11 610 237 127 487
12 294 638 291 388
13 951 149 358 425
14 54 424 204 346
15 401 306 302 371
16 553 270 444 329
17 551 602 145 143
18 117 140 369 378
19 469 112 343 313
20 753 574 412 434
21 824 203 302 127
22 858 849 256 302
23 97 913 320 106
24 913 533 380 170
25 868 538 473 454
26 770 479 177 451
27 128 417 292 319
28 117 79 338 2
29 566 523 243 42
30 855 319 347 44
31 829 409 264 142
32 589 733 224 408
33 363 58 284 92
34 873 832 285 478
35 170 626 405 196
36 406 346 412 206
37 181 617 174 19
38 547 631 360 345
39 530 461 124 91
40 516 398 15 448
41 351 286 44 43
42 229 479 398 188
43 703 699 214 236
44 910 622 189 308
45 222 118 129 387
46 941 52 352 392
47 879 883 28 427
48 785 242 151 164
49 293 10 19 287
50 74 464 141 275
51 637 832 334 404
52 162 170 332 359
53 449 710 422 191
54 801 979 203 45
55 523 317 282 69
56 730 226 492 177
57 956 959 464 242
58 706 659 216 177
59 658 968 329 256
60 633 233 484 457
61 438 575 142 187
62 285 317 200 22
63 810 422 114 202
64 559 103 37 484
65 432 985 340 177
66 919 421 258 173
67 818 82 81 441
68 592 619 31 354
69 144 745 484 233
70 951 667 399 117
71 415 681 154 242
72 893 371 293 117
73 992 951 483 361
74 382 3 293 311
75 272 16 116 276
76 236 710 119 110
77 943 873 315 170
78 28 753 483 428
79 295 587 371 19
80 856 79 411 210
81 925 776 47 20
82 853 743 234 479
83 210 797 312 116
84 714 354 333 295
85 542 665 349 231
86 373 957 411 2
87 698 618 324 56
88 680 691 470 159
89 570 415 416 262
90 46 194 321 383
91 431 634 389 440
92 904 726 492 203
93 507 284 461 474
94 479 154 482 332
95 872 687 492 244
96 233 797 393 391
97 815 86 115 479
98 892 25 369 427
99 883 606 94 201
100 731 778 221 294
101 624 104 283 484
102 87 322 295 107
