nnodes nedges type capacity P s t
300  44850  graph  1000 100 1 300 
nodename posx posy itemvalue itemweight
1 281 266 0 0
2 169 937 208 34
3 499 945 200 3
4 730 310 190 18
5 188 1 218 2
6 759 25 448 11
7 271 41 249 31
8 185 913 492 24
9 258 731 351 37
10 353 65 340 34
11 111 698 92 6
12 256 806 178 8
13 175 366 384 33
14 346 560 414 37
15 67 183 206 40
16 167 348 377 44
17 801 336 302 37
18 637 301 227 1
19 281 720 139 19
20 611 821 170 8
21 73 370 70 17
22 199 697 319 18
23 411 384 447 12
24 610 21 344 50
25 468 316 448 35
26 87 579 385 41
27 14 695 340 12
28 385 541 299 24
29 61 83 345 14
30 102 128 162 2
31 619 621 353 39
32 829 420 98 4
33 957 818 327 24
34 721 590 6 17
35 538 685 92 25
36 763 964 25 13
37 55 962 143 45
38 661 819 183 42
39 699 271 356 26
40 192 519 91 5
41 939 279 60 25
42 98 953 46 2
43 327 835 36 46
44 847 388 475 32
45 270 301 259 38
46 869 889 486 11
47 922 698 378 33
48 310 231 117 4
49 868 383 258 24
50 821 407 21 50
51 68 936 149 47
52 723 476 214 43
53 251 384 91 46
54 647 950 84 48
55 7 839 421 24
56 821 947 452 33
57 471 919 500 47
58 252 798 84 36
59 106 99 44 10
60 186 376 119 2
61 400 407 397 4
62 618 322 265 25
63 105 280 38 31
64 553 974 330 46
65 15 726 206 2
66 733 84 497 6
67 663 456 98 10
68 912 266 349 40
69 192 559 106 32
70 568 199 337 28
71 398 389 458 39
72 146 869 62 7
73 308 751 137 45
74 19 766 344 31
75 850 558 406 13
76 494 251 334 5
77 965 464 66 48
78 925 71 281 4
79 744 479 330 10
80 397 760 251 38
81 557 482 312 47
82 196 220 93 9
83 938 108 456 41
84 838 130 301 13
85 19 406 225 37
86 681 769 143 32
87 795 180 277 4
88 639 455 490 16
89 931 10 201 34
90 221 781 446 6
91 568 68 296 31
92 32 534 112 13
93 532 310 81 42
94 957 277 168 12
95 789 706 2 18
96 389 346 149 13
97 188 585 16 42
98 919 478 73 22
99 45 757 182 25
100 608 64 384 8
101 164 641 362 26
102 185 959 439 40
103 821 176 82 29
104 415 752 255 32
105 187 988 114 2
106 534 755 387 9
107 408 918 183 49
108 641 941 473 13
109 228 598 242 43
110 570 369 24 43
111 304 311 262 25
112 68 492 407 28
113 896 987 266 32
114 970 293 101 49
115 96 930 56 34
116 709 612 57 17
117 924 894 362 47
118 924 745 259 43
119 71 691 275 13
120 498 610 76 38
121 679 384 65 14
122 365 88 148 47
123 654 7 164 23
124 381 235 361 6
125 957 951 317 36
126 604 262 148 28
127 614 672 260 7
128 106 510 207 27
129 11 429 238 7
130 155 460 176 43
131 711 216 143 34
132 72 635 62 6
133 462 348 430 20
134 381 533 150 5
135 39 231 332 25
136 143 719 444 48
137 615 861 38 44
138 159 621 494 2
139 220 892 268 6
140 856 177 107 34
141 195 461 442 6
142 791 809 13 3
143 485 250 12 20
144 671 849 430 49
145 31 178 26 5
146 661 742 42 20
147 394 85 188 5
148 730 856 375 19
149 434 463 274 24
150 742 473 25 7
151 694 237 248 21
152 544 661 205 36
153 98 55 264 50
154 282 670 339 31
155 947 139 256 45
156 200 142 466 49
157 952 991 50 28
158 303 789 101 12
159 593 974 197 30
160 990 624 162 25
161 152 3 486 3
162 719 546 94 25
163 89 449 9 21
164 755 523 494 34
165 912 497 344 18
166 348 958 91 42
167 86 893 338 47
168 619 185 229 3
169 948 253 196 17
170 207 248 335 3
171 744 407 363 50
172 742 696 351 12
173 399 46 130 2
174 838 344 325 28
175 372 180 333 37
176 969 525 252 19
177 184 688 41 48
178 423 273 343 50
