nnodes nedges type capacity P s t
300  44850  graph  1000 100 1 300 
nodename posx posy itemvalue itemweight
1 939 913 0 0
2 124 878 165 498
3 72 177 14 152
4 847 344 184 370
5 387 852 27 131
6 465 120 101 83
7 946 477 207 270
8 849 739 229 256
9 933 683 7 450
10 642 167 238 289
11 266 17 29 116
12 690 974 83 90
13 708 422 49 92
14 676 196 79 320
15 714 360 189 41
16 692 654 108 283
17 625 168 112 22
18 884 697 132 375
19 697 84 25 167
20 393 84 97 301
21 936 859 47 197
22 557 235 235 355
23 336 406 68 213
24 974 622 110 176
25 90 968 15 449
26 789 708 66 145
27 986 831 166 148
28 683 694 234 465
29 254 359 240 414
30 242 320 136 30
31 71 286 56 243
32 326 49 164 168
33 806 563 116 295
34 98 503 144 141
35 647 492 63 490
36 940 583 43 109
37 351 497 38 380
38 170 39 66 207
39 903 144 92 425
40 661 345 234 458
41 465 803 226 49
42 406 803 102 141
43 634 441 197 187
44 849 888 207 288
45 152 92 202 92
46 561 224 169 258
47 378 887 186 184
48 625 185 27 154
49 450 75 80 22
50 40 97 44 142
51 567 980 12 438
52 33 270 102 401
53 477 203 67 417
54 662 733 108 261
55 700 323 194 341
56 430 517 70 419
57 126 836 242 172
58 320 761 161 290
59 629 169 210 368
60 1 782 77 162
61 261 562 61 97
62 358 992 21 349
63 450 983 132 399
64 529 252 2 461
65 410 569 170 295
66 350 978 102 283
67 902 735 84 203
68 600 379 184 253
69 290 262 222 143
70 464 990 115 165
71 938 247 85 434
72 507 64 83 428
73 83 179 207 345
74 177 65 217 167
75 349 531 64 145
76 847 610 78 375
77 93 205 241 450
78 954 895 223 224
79 540 483 98 224
80 148 950 184 267
81 405 850 120 285
82 280 307 152 305
83 585 233 90 437
84 38 875 57 311
85 495 503 181 421
86 218 433 225 117
87 750 77 207 409
88 850 185 45 163
89 257 27 105 261
90 250 606 181 169
91 558 97 156 8
92 568 4 145 498
93 654 523 59 117
94 251 546 222 156
95 358 751 192 405
96 849 763 25 61
97 601 481 42 28
98 70 538 217 381
99 714 109 214 274
100 766 562 43 394
101 964 336 46 369
102 995 714 10 104
103 413 197 129 406
104 251 670 17 233
105 577 502 167 447
106 628 135 3 72
107 951 549 57 147
108 491 958 69 467
109 424 743 13 142
110 504 782 225 306
111 494 705 47 249
112 546 448 116 440
113 187 968 128 83
114 986 253 70 91
115 77 104 208 214
116 815 41 86 105
117 440 163 82 197
118 107 854 209 210
119 360 359 103 327
120 876 937 44 269
121 213 857 125 47
122 425 516 192 283
123 406 916 193 112
124 474 830 250 308
125 11 331 4 224
126 964 858 113 152
127 36 510 74 331
128 306 575 91 451
129 479 644 15 262
130 829 908 143 324
131 749 644 77 228
132 302 189 178 408
133 807 409 26 488
134 395 520 219 230
135 120 272 64 114
136 457 333 100 291
137 129 882 12 41
138 850 887 73 205
139 151 676 5 174
140 717 162 114 258
141 7 33 147 476
142 20 396 11 72
143 544 678 158 203
144 323 375 124 422
145 323 152 66 266
146 635 72 245 142
147 149 937 95 25
148 261 308 151 121
149 699 9 12 221
150 828 819 202 326
151 281 638 84 52
152 505 762 116 346
153 520 355 92 40
154 649 23 152 96
155 31 718 214 265
156 186 391 205 462
157 751 558 92 317
158 139 647 34 250
159 237 462 19 407
160 374 560 171 186
161 967 10 25 268
162 984 116 179 369
163 947 597 42 79
164 776 646 91 303
165 606 605 151 43
166 818 887 230 485
167 243 323 94 447
168 1 115 182 37
169 30 2 237 435
170 139 413 235 52
171 72 677 51 41
172 804 824 13 142
173 587 295 108 398
