nnodes nedges type capacity P s t
200  19900  graph  1000 100 1 200 
nodename posx posy itemvalue itemweight
1 281 266 0 0
2 169 937 342 31
3 499 945 418 10
4 730 310 215 44
5 188 1 329 48
6 759 25 361 40
7 271 41 153 8
8 185 913 225 33
9 258 731 391 47
10 353 65 288 49
11 111 698 159 24
12 256 806 355 21
13 175 366 288 7
14 346 560 447 19
15 67 183 405 50
16 167 348 102 43
17 801 336 189 43
18 637 301 275 6
19 281 720 254 40
20 611 821 252 32
21 73 370 339 12
22 199 697 123 41
23 411 384 71 47
24 610 21 323 13
25 468 316 294 12
26 87 579 111 2
27 14 695 236 15
28 385 541 74 25
29 61 83 223 20
30 102 128 493 28
31 619 621 472 44
32 829 420 72 12
33 957 818 388 47
34 721 590 118 41
35 538 685 188 21
36 763 964 74 26
37 55 962 184 47
38 661 819 16 6
39 699 271 395 40
40 192 519 418 40
41 939 279 151 30
42 98 953 491 36
43 327 835 344 17
44 847 388 260 18
45 270 301 288 3
46 869 889 397 9
47 922 698 198 19
48 310 231 271 36
49 868 383 167 40
50 821 407 78 6
51 68 936 312 2
52 723 476 231 45
53 251 384 200 48
54 647 950 100 44
55 7 839 287 19
56 821 947 486 37
57 471 919 248 26
58 252 798 175 41
59 106 99 244 34
60 186 376 360 32
61 400 407 38 7
62 618 322 142 36
63 105 280 77 14
64 553 974 173 45
65 15 726 355 50
66 733 84 300 16
67 663 456 401 32
68 912 266 12 2
69 192 559 479 11
70 568 199 398 15
71 398 389 479 33
72 146 869 53 26
73 308 751 210 27
74 19 766 168 4
75 850 558 13 30
76 494 251 337 2
77 965 464 488 28
78 925 71 489 14
79 744 479 242 11
80 397 760 10 46
81 557 482 411 9
82 196 220 114 13
83 938 108 42 25
84 838 130 115 20
85 19 406 88 14
86 681 769 136 18
87 795 180 246 38
88 639 455 144 7
89 931 10 267 13
90 221 781 260 31
91 568 68 394 46
92 32 534 32 31
93 532 310 426 21
94 957 277 444 17
95 789 706 181 5
96 389 346 114 43
97 188 585 465 27
98 919 478 106 6
99 45 757 204 22
100 608 64 25 41
101 164 641 287 10
102 185 959 208 34
103 821 176 200 3
104 415 752 190 18
105 187 988 218 2
106 534 755 448 11
107 408 918 249 31
108 641 941 492 24
109 228 598 351 37
110 570 369 340 34
111 304 311 92 6
112 68 492 178 8
113 896 987 384 33
114 970 293 414 37
115 96 930 206 40
116 709 612 377 44
117 924 894 302 37
118 924 745 227 1
119 71 691 139 19
120 498 610 170 8
121 679 384 70 17
122 365 88 319 18
123 654 7 447 12
124 381 235 344 50
125 957 951 448 35
126 604 262 385 41
127 614 672 340 12
128 106 510 299 24
129 11 429 345 14
130 155 460 162 2
131 711 216 353 39
132 72 635 98 4
133 462 348 327 24
134 381 533 6 17
135 39 231 92 25
136 143 719 25 13
137 615 861 143 45
138 159 621 183 42
139 220 892 356 26
140 856 177 91 5
141 195 461 60 25
142 791 809 46 2
143 485 250 36 46
144 671 849 475 32
145 31 178 259 38
146 661 742 486 11
147 394 85 378 33
148 730 856 117 4
149 434 463 258 24
150 742 473 21 50
151 694 237 149 47
152 544 661 214 43
153 98 55 91 46
154 282 670 84 48
155 947 139 421 24
156 200 142 452 33
157 952 991 500 47
158 303 789 84 36
159 593 974 44 10
160 990 624 119 2
161 152 3 397 4
162 719 546 265 25
163 89 449 38 31
164 755 523 330 46
165 912 497 206 2
166 348 958 497 6
167 86 893 98 10
168 619 185 349 40
169 948 253 106 32
170 207 248 337 28
171 744 407 458 39
172 742 696 62 7
173 399 46 137 45
174 838 344 344 31
175 372 180 406 13
176 969 525 334 5
177 184 688 66 48
178 423 273 281 4
179 489 178 330 10
180 148 401 251 38
181 27 496 312 47
182 359 114 93 9
183 741 330 456 41
184 651 42 301 13
185 583 858 225 37
186 290 328 143 32
187 266 384 277 4
188 376 17 490 16
189 430 566 201 34
190 361 803 446 6
191 747 682 296 31
192 680 931 112 13
193 370 103 81 42
194 556 211 168 12
195 634 56 2 18
196 612 13 149 13
197 552 323 16 42
198 479 646 73 22
199 653 482 182 25
200 688 237 0 0
endpoint1 endpoint2 weight
1 2 681
1 3 714
1 4 452
1 5 281
1 6 536
1 7 226
1 8 655
1 9 466
1 10 214
1 11 465
1 12 541
1 13 146
1 14 302
1 15 230
1 16 141
1 17 525
1 18 358
1 19 454
1 20 646
1 21 233
1 22 439
1 23 176
1 24 411
1 25 194
1 26 369
1 27 506
1 28 295
1 29 287
1 30 227
1 31 491
1 32 570
1 33 873
1 34 547
1 35 492
1 36 849
1 37 732
1 38 671
1 39 419
1 40 269
1 41 659
1 42 711
1 43 571
1 44 579
1 45 37
1 46 857
1 47 773
1 48 46
1 49 599
1 50 559
1 51 704
1 52 490
1 53 122
1 54 776
1 55 636
1 56 870
1 57 681
1 58 533
1 59 242
1 60 146
1 61 185
1 62 342
1 63 177
1 64 759
1 65 532
1 66 488
1 67 427
1 68 631
1 69 307
1 70 295
1 71 170
1 72 618
1 73 486
1 74 565
1 75 640
1 76 214
1 77 713
1 78 673
1 79 510
1 80 508
1 81 351
1 82 97
1 83 676
1 84 574
1 85 298
1 86 643
1 87 522
1 88 405
1 89 699
1 90 519
1 91 349
1 92 366
1 93 255
1 94 677
1 95 673
1 96 135
1 97 333
1 98 673
1 99 545
1 100 385
1 101 393
1 102 700
1 103 548
1 104 505
1 105 729
1 106 551
1 107 665
1 108 765
1 109 337
1 110 307
1 111 51
1 112 311
1 113 948
1 114 690
1 115 690
1 116 551
1 117 899
1 118 802
1 119 475
1 120 407
1 121 416
1 122 197
1 123 455
1 124 105
1 125 963
1 126 324
1 127 526
1 128 301
1 129 316
1 130 232
1 131 433
1 132 425
1 133 199
1 134 286
1 135 245
1 136 474
1 137 683
1 138 376
1 139 629
1 140 582
1 141 214
1 142 745
1 143 205
1 144 702
1 145 266
1 146 610
1 147 214
1 148 742
1 149 250
1 150 506
1 151 415
1 152 475
1 153 280
1 154 405
1 155 679
1 156 149
1 157 988
1 158 524
1 159 774
1 160 795
1 161 293
1 162 520
1 163 266
1 164 540
1 165 672
1 166 696
1 167 657
1 168 348
1 169 668
1 170 77
1 171 484
1 172 631
1 173 250
1 174 563
1 175 126
1 176 736
1 177 434
1 178 143
1 179 226
1 180 190
1 181 343
1 182 171
1 183 465
1 184 433
1 185 665
1 186 63
1 187 119
1 188 267
1 189 335
1 190 543
1 191 625
1 192 776
1 193 186
1 194 281
1 195 411
1 196 417
1 197 277
1 198 429
1 199 431
1 200 409
2 1 681
2 3 331
2 4 842
2 5 937
2 6 1087
2 7 902
2 8 29
2 9 225
2 10 892
2 11 246
2 12 158
2 13 572
2 14 417
2 15 761
2 16 590
2 17 873
2 18 790
2 19 245
2 20 457
2 21 576
2 22 242
2 23 604
2 24 1017
2 25 690
2 26 368
2 27 288
2 28 452
2 29 861
2 30 812
2 31 550
2 32 839
2 33 797
2 34 653
2 35 447
2 36 595
2 37 117
2 38 506
2 39 852
2 40 419
2 41 1013
