nnodes nedges type capacity P s t
200  19900  graph  1000 100 1 200 
nodename posx posy itemvalue itemweight
1 286 631 0 0
2 202 755 7 228
3 827 904 10 27
4 741 276 5 218
5 586 354 8 193
6 218 313 9 185
7 949 750 3 174
8 440 821 8 144
9 407 93 10 243
10 99 467 3 200
11 340 247 9 245
12 121 312 7 99
13 77 912 2 101
14 368 785 5 241
15 770 769 4 28
16 477 56 8 183
17 400 679 5 226
18 812 579 2 166
19 935 553 2 157
20 207 874 6 140
21 259 425 9 224
22 539 209 6 81
23 527 980 9 66
24 30 287 6 40
25 425 481 10 169
26 754 118 9 140
27 728 227 5 17
28 782 157 9 248
29 139 150 7 155
30 294 910 10 82
31 919 771 2 77
32 318 671 7 238
33 802 482 4 128
34 602 90 6 8
35 387 810 4 241
36 964 647 9 234
37 587 503 6 26
38 208 115 6 166
39 835 238 3 242
40 402 613 5 102
41 71 508 2 45
42 731 151 2 128
43 735 513 1 82
44 660 874 5 178
45 16 955 8 215
46 784 287 1 19
47 78 455 3 227
48 311 881 9 47
49 937 913 5 114
50 971 325 6 240
51 75 287 6 154
52 972 663 4 21
53 790 532 9 139
54 778 626 6 122
55 122 532 2 242
56 591 193 5 95
57 40 322 6 66
58 696 775 2 96
59 187 356 9 199
60 1 555 5 86
61 311 138 3 236
62 843 742 7 55
63 593 506 2 65
64 623 530 3 168
65 419 946 10 108
66 855 847 8 235
67 233 179 1 131
68 510 375 7 42
69 711 640 1 42
70 353 185 5 205
71 172 944 3 89
72 378 564 1 170
73 618 74 7 225
74 691 806 5 5
75 783 692 3 140
76 713 94 3 187
77 830 556 7 1
78 836 775 3 40
79 62 811 5 46
80 306 834 8 196
81 109 513 5 115
82 681 342 2 118
83 45 543 7 138
84 718 108 9 69
85 183 71 1 173
86 294 707 3 165
87 16 24 1 174
88 271 634 4 119
89 99 314 10 200
90 792 882 6 172
91 6 506 1 168
92 328 189 8 167
93 414 517 8 200
94 316 829 9 84
95 680 622 7 16
96 15 790 1 102
97 488 696 2 162
98 484 885 9 78
99 591 202 1 127
100 993 774 6 181
101 626 639 1 21
102 833 994 7 13
103 664 456 6 132
104 980 115 2 45
105 770 125 1 107
106 349 128 8 22
107 631 29 4 175
108 669 397 10 43
109 898 986 6 98
110 226 579 8 73
111 960 241 5 108
112 721 448 4 196
113 289 205 9 244
114 333 880 5 21
115 760 679 2 123
116 6 738 3 122
117 318 191 3 249
118 732 982 4 40
119 647 64 2 15
120 449 769 6 62
121 189 798 3 3
122 898 172 5 98
123 828 919 9 77
124 570 726 10 4
125 905 148 4 117
126 657 866 8 139
127 742 378 6 203
128 666 383 4 196
129 584 352 6 209
130 616 696 6 167
131 383 622 1 18
132 434 701 8 75
133 814 166 8 24
134 36 813 4 99
135 582 485 10 151
136 583 772 3 113
137 636 481 3 197
138 296 464 10 181
139 752 218 3 100
140 542 658 4 49
141 719 200 8 214
142 876 461 9 144
143 930 894 6 122
144 844 514 9 214
145 246 460 2 157
146 210 629 10 114
147 435 996 4 20
148 683 601 10 144
149 514 71 3 5
150 766 97 2 34
151 556 349 5 106
152 221 544 6 57
153 182 517 3 106
154 8 935 7 177
155 736 903 7 23
156 945 455 7 226
157 455 821 8 115
158 268 385 1 3
159 715 464 9 162
160 252 314 6 122
161 277 814 8 198
162 295 64 6 93
163 811 330 7 127
164 665 325 6 111
165 401 783 2 228
166 774 310 4 138
167 133 995 3 142
168 854 315 5 237
169 513 215 9 33
170 602 601 6 7
171 118 547 7 194
172 408 925 2 244
173 720 28 9 55
174 310 788 9 249
175 492 914 6 64
176 454 121 10 33
177 729 749 1 207
178 185 892 5 79
179 432 202 4 213
180 569 833 9 67
181 986 344 2 185
182 143 119 4 226
183 339 998 6 250
184 786 204 5 26
185 213 389 3 80
186 157 683 2 41
187 288 917 5 13
188 608 9 7 183
189 945 918 9 235
190 797 790 1 134
191 185 251 8 153
192 911 914 8 161
193 352 97 9 245
194 158 784 9 44
195 651 727 7 30
196 970 637 10 248
197 71 113 6 166
198 108 763 3 141
199 463 895 5 37
200 967 676 0 0
endpoint1 endpoint2 weight
1 2 150
1 3 606
1 4 578
1 5 409
1 6 326
1 7 674
1 8 245
1 9 552
1 10 249
1 11 388
1 12 360
1 13 351
1 14 175
1 15 504
1 16 606
1 17 124
1 18 529
1 19 654
1 20 256
1 21 208
1 22 493
1 23 425
1 24 429
1 25 205
1 26 695
1 27 599
1 28 687
1 29 503
1 30 280
1 31 649
1 32 52
1 33 538
1 34 627
1 35 206
1 36 679
1 37 328
1 38 522
1 39 676
1 40 118
1 41 248
1 42 655
1 43 465
1 44 447
1 45 422
1 46 606
1 47 273
1 48 252
1 49 710
1 50 751
1 51 404
1 52 687
1 53 514
1 54 493
1 55 192
1 56 534
1 57 395
1 58 435
1 59 293
1 60 295
1 61 494
1 62 568
1 63 332
1 64 352
1 65 342
1 66 609
1 67 456
1 68 341
1 69 426
1 70 452
1 71 334
1 72 114
1 73 649
1 74 442
1 75 501
1 76 687
1 77 550
1 78 569
1 79 288
1 80 204
1 81 213
1 82 490
1 83 257
1 84 679
1 85 570
1 86 77
1 87 665
1 88 16
1 89 369
1 90 565
1 91 307
1 92 444
1 93 172
1 94 201
1 95 395
1 96 315
1 97 213
1 98 323
1 99 527
1 100 722
1 101 341
1 102 657
1 103 417
1 104 865
1 105 701
1 106 507
1 107 694
1 108 449
1 109 708
1 110 80
1 111 779
1 112 472
1 113 427
1 114 254
1 115 477
1 116 300
1 117 442
1 118 568
1 119 673
1 120 214
1 121 194
1 122 765
1 123 614
1 124 300
1 125 786
1 126 440
1 127 522
1 128 454
1 129 409
1 130 337
1 131 98
1 132 164
1 133 704
1 134 310
1 135 331
1 136 329
1 137 381
1 138 168
1 139 623
1 140 258
1 141 611
1 142 615
1 143 696
1 144 571
1 145 176
1 146 77
1 147 395
1 148 399
1 149 605
1 150 719
1 151 391
1 152 109
1 153 155
1 154 412
1 155 526
1 156 683
1 157 255
1 158 247
1 159 461
1 160 319
1 161 184
1 162 568
1 163 606
1 164 488
1 165 191
1 166 585
1 167 395
1 168 650
1 169 474
1 170 318
1 171 188
1 172 319
1 173 743
1 174 159
1 175 351
1 176 537
1 177 459
1 178 280
1 179 454
1 180 348
1 181 757
1 182 532
1 183 371
1 184 658
1 185 253
1 186 140
1 187 287
1 188 701
1 189 719
1 190 536
1 191 394
1 192 687
1 193 539
1 194 200
1 195 378
1 196 685
1 197 561
1 198 222
1 199 318
1 200 683
2 1 150
2 3 643
2 4 722
2 5 556
2 6 443
2 7 748
2 8 247
2 9 694
2 10 306
2 11 527
2 12 451
2 13 201
2 14 169
2 15 569
2 16 752
2 17 213
2 18 635
2 19 761
2 20 120
2 21 335
2 22 642
2 23 396
2 24 499
2 25 354
2 26 843
2 27 746
2 28 834
2 29 609
2 30 181
2 31 718
2 32 144
2 33 660
2 34 777
2 35 194
2 36 770
2 37 461
2 38 641
2 39 818
2 40 246
2 41 280
2 42 803
2 43 586
2 44 474
2 45 274
2 46 747
2 47 325
2 48 167
2 49 752
2 50 882
2 51 485
2 52 776
2 53 629
2 54 591
2 55 237
2 56 684
2 57 463
2 58 495
2 59 400
2 60 284
2 61 627
2 62 642
2 63 464
2 64 478
2 65 290
2 66 660
2 67 577
2 68 490
2 69 522
2 70 590
2 71 192
2 72 260
2 73 799
2 74 492
2 75 585
2 76 836
2 77 659
2 78 635
2 79 151
2 80 131
2 81 260
2 82 633
2 83 264
2 84 828
2 85 685
2 86 104
2 87 755
2 88 140
2 89 453
2 90 604
2 91 317
2 92 580
2 93 319
2 94 136
2 95 497
2 96 191
2 97 293
2 98 311
2 99 677
2 100 792
2 101 440
2 102 675
2 103 551
2 104 1008
2 105 849
2 106 645
2 107 844
2 108 589
2 109 734
2 110 178
2 111 916
2 112 604
2 113 557
2 114 182
2 115 564
2 116 197
2 117 576
2 118 577
2 119 822
2 120 248
2 121 45
2 122 908
2 123 648
2 124 370
2 125 929
2 126 469
2 127 659
2 128 595
2 129 556
2 130 419
2 131 225
2 132 239
2 133 850
2 134 176
2 135 467
2 136 382
2 137 514
2 138 306
2 139 769
2 140 354
2 141 759
2 142 736
2 143 742
2 144 686
2 145 299
2 146 127
2 147 336
2 148 506
2 149 752
2 150 867
2 151 539
2 152 212
2 153 239
2 154 265
2 155 555
2 156 802
2 157 262
2 158 376
2 159 590
2 160 444
2 161 96
2 162 698
2 163 743
2 164 632
2 165 201
2 166 725
2 167 250
2 168 787
2 169 624
2 170 429
2 171 225
2 172 268
2 173 893
2 174 113
2 175 331
2 176 683
2 177 528
2 178 139
2 179 599
2 180 376
2 181 886
2 182 639
2 183 279
2 184 803
2 185 367
2 186 85
2 187 184
2 188 850
2 189 761
2 190 597
2 191 505
2 192 727
2 193 675
2 194 53
2 195 450
2 196 778
2 197 656
2 198 95
2 199 297
2 200 770
3 1 606
3 2 643
3 4 634
3 5 601
3 6 849
3 7 197
3 8 396
3 9 914
3 10 850
3 11 818
3 12 922
3 13 751
3 14 475
3 15 147
3 16 918
3 17 483
3 18 326
3 19 368
3 20 621
3 21 744
3 22 753
3 23 310
3 24 1008
3 25 584
3 26 790
