nnodes nedges type capacity P s t
300  44850  graph  1000 100 1 300 
nodename posx posy itemvalue itemweight
1 75 184 0 0
2 773 647 138 22
3 614 484 247 100
4 746 623 47 63
5 430 322 78 45
6 341 223 9 77
7 586 153 221 33
8 577 893 246 67
9 507 307 137 79
10 703 24 14 45
11 300 569 246 98
12 576 965 217 37
13 128 845 244 83
14 185 464 23 89
15 127 601 115 6
16 663 554 247 25
17 785 436 216 86
18 202 399 198 12
19 921 948 235 44
20 375 703 27 65
21 270 716 188 35
22 278 208 193 8
23 222 855 169 38
24 102 729 177 6
25 514 805 218 40
26 754 166 250 16
27 726 682 239 18
28 132 207 202 82
29 527 669 250 74
30 671 654 173 64
31 270 335 231 69
32 209 408 190 96
33 123 763 154 37
34 159 396 9 90
35 63 534 130 85
36 99 685 154 19
37 603 378 171 46
38 894 825 179 90
39 585 996 33 5
40 554 452 145 3
41 153 660 44 96
42 970 879 168 33
43 342 454 63 69
44 86 221 116 64
45 124 110 194 88
46 228 746 130 24
47 445 437 58 19
48 506 568 119 61
49 552 666 58 29
50 965 615 201 39
51 552 416 14 4
52 300 155 208 84
53 146 546 52 36
54 980 84 23 84
55 542 887 240 19
56 536 47 38 35
57 899 858 116 55
58 927 594 19 78
59 313 365 73 85
60 815 789 194 68
61 475 43 24 73
62 887 272 41 32
63 832 394 141 61
64 841 736 42 50
65 60 158 240 94
66 351 964 89 3
67 574 4 50 46
68 120 721 38 51
69 550 452 181 63
70 805 445 36 72
71 691 693 181 24
72 492 591 156 47
73 551 771 28 77
74 185 216 76 53
75 489 352 161 69
76 357 964 70 36
77 396 245 91 11
78 237 580 117 84
79 991 430 223 11
80 317 51 133 12
81 588 668 104 73
82 15 162 214 5
83 24 487 118 52
84 235 927 105 50
85 940 40 16 93
86 724 983 23 46
87 85 216 66 31
88 574 989 94 45
89 340 111 57 72
90 205 829 249 67
91 464 915 40 69
92 145 212 2 33
93 160 382 31 21
94 792 151 168 5
95 812 109 231 52
96 554 752 67 86
97 130 921 225 82
98 267 506 191 94
99 761 502 235 97
100 433 701 94 50
101 895 157 241 16
102 684 980 48 56
103 726 611 146 91
104 969 418 103 52
105 74 527 162 1
106 247 538 20 54
107 442 392 21 24
108 102 954 138 3
109 127 895 94 57
110 457 291 8 26
111 356 363 58 24
112 44 838 111 84
113 636 311 57 53
114 697 397 78 42
115 813 130 152 73
116 450 708 41 42
117 640 487 138 38
118 41 718 50 86
119 98 10 81 54
120 136 524 189 94
121 889 735 104 59
122 63 331 147 27
123 127 517 82 36
124 637 254 129 77
125 412 94 42 88
126 546 121 202 52
127 809 942 163 64
128 311 446 187 20
129 253 8 169 64
130 843 418 11 22
131 491 294 138 51
132 479 131 165 76
133 781 520 241 64
134 201 231 13 21
135 530 689 217 1
136 755 772 164 23
137 424 170 159 13
138 455 551 149 92
139 688 93 48 29
140 158 452 220 92
141 539 56 117 21
142 573 349 143 31
143 998 237 187 29
144 795 603 100 57
145 245 990 195 10
146 21 736 128 32
147 284 500 13 92
148 219 417 209 53
149 372 772 108 23
150 0 255 73 24
151 461 756 24 38
152 27 885 98 34
153 926 482 250 98
154 789 966 228 98
155 575 299 79 97
156 419 467 239 95
157 355 344 220 83
158 816 705 177 6
159 581 963 163 27
160 308 179 112 7
161 305 681 136 91
162 915 590 41 100
163 534 487 132 1
164 359 906 2 89
165 259 360 174 76
166 161 721 165 47
167 468 540 14 14
168 958 746 82 15
169 23 99 212 9
170 713 950 14 90
171 398 484 108 4
172 417 105 86 27
173 828 585 86 12
174 810 762 84 49
175 900 470 38 97
176 293 206 207 26
177 504 560 137 49
178 148 38 25 20
179 47 507 200 29
180 296 307 211 73
181 219 810 54 25
182 380 687 171 69
183 350 690 90 54
184 434 373 34 1
185 790 147 163 47
186 324 540 192 72
187 631 93 151 77
188 646 811 198 88
189 31 808 141 33
190 925 931 188 30
191 279 570 31 95
192 489 135 55 67
193 131 637 243 32
194 173 178 138 44
195 497 469 162 98
196 837 716 166 15
197 279 569 74 38
198 404 630 236 64
199 260 190 42 19
200 355 402 66 6
201 337 31 167 58
202 942 320 177 19
203 125 940 136 26
204 483 156 7 26
205 749 761 108 94
206 439 380 158 38
207 331 929 190 14
208 515 814 156 35
209 566 40 245 45
210 345 415 78 56
211 861 182 243 94
212 132 493 223 68
213 104 888 33 58
214 475 716 183 74
215 78 830 78 51
216 118 767 231 96
217 862 412 210 7
218 439 339 15 45
219 353 274 132 21
220 847 454 223 41
221 387 286 66 30
222 186 71 228 6
223 215 53 45 85
224 885 134 40 92
225 93 230 130 17
226 549 954 47 24
227 765 33 212 21
228 447 869 141 97
229 921 922 180 26
230 585 351 170 9
231 105 55 26 53
232 470 967 205 35
233 467 909 159 19
234 658 172 181 43
235 536 505 91 53
236 978 923 233 56
237 791 516 134 61
238 994 359 13 29
239 569 880 47 52
